theta,model,initial,path,negative_endpoint,crossed_zero,committed_switch,crossing_return,unresolved_transition,first_switch_time,censored,endpoint_mz
0.11,RFM11_64,2,14,0,0,0,0,1,,1,0.3456720280647278
0.11,RFM11_64,2,15,0,0,0,0,0,,1,0.7019530254602432
0.11,RFM11_64,3,0,0,0,0,0,0,,1,0.8208627399802207
0.11,RFM11_64,3,1,0,0,0,0,0,,1,0.7085601651668548
0.11,RFM11_64,3,2,1,1,0,0,1,,1,-0.03286215215921402
0.11,RFM11_64,3,3,0,1,0,1,1,,1,0.027039404325187207
0.11,RFM11_64,3,4,0,0,0,0,1,,1,0.5558812119066715
0.11,RFM11_64,3,5,0,0,0,0,1,,1,0.5373434150218963
0.11,RFM11_64,3,6,0,1,0,0,1,,1,0.20064244151115418
0.11,RFM11_64,3,7,0,0,0,0,1,,1,0.5626476687192917
0.11,RFM11_64,3,8,0,0,0,0,1,,1,0.2934393584728241
0.11,RFM11_64,3,9,0,0,0,0,1,,1,0.5968976397812367
0.11,RFM11_64,3,10,0,0,0,0,0,,1,0.8905726742744445
0.11,RFM11_64,3,11,0,0,0,0,1,,1,0.3490025943517685
0.11,RFM11_64,3,12,0,0,0,0,1,,1,0.5060216826200485
0.11,RFM11_64,3,13,0,0,0,0,0,,1,0.9041518712043762
0.11,RFM11_64,3,14,0,0,0,0,1,,1,0.573954992890358
0.11,RFM11_64,3,15,0,0,0,0,1,,1,0.32457210138440135
0.11,RFM22,0,0,0,0,0,0,1,,1,0.1240145817399025
0.11,RFM22,0,1,0,1,0,0,1,,1,0.12930897891521453
0.11,RFM22,0,2,0,0,0,0,0,,1,0.6780126023292542
0.11,RFM22,0,3,1,1,0,1,1,,1,-0.005411327481269836
0.11,RFM22,0,4,0,0,0,0,1,,1,0.5740757536888123
0.11,RFM22,0,5,0,0,0,0,1,,1,0.29196806967258454
0.11,RFM22,0,6,0,1,0,1,1,,1,0.43325485348701476
0.11,RFM22,0,7,0,0,0,0,0,,1,0.6437056875228881
0.11,RFM22,0,8,0,1,0,1,1,,1,0.09961038246750832
0.11,RFM22,0,9,0,1,0,0,1,,1,0.23331778828054667
0.11,RFM22,0,10,0,1,0,1,1,,1,0.3311064139008522
0.11,RFM22,0,11,0,1,0,1,1,,1,0.4192475440353155
0.11,RFM22,0,12,0,0,0,0,1,,1,0.4956349104642868
0.11,RFM22,0,13,0,1,0,1,1,,1,0.3018962663412094
0.11,RFM22,0,14,0,1,0,1,1,,1,0.3155451488494873
0.11,RFM22,0,15,0,0,0,0,1,,1,0.42707756996154783
0.11,RFM22,1,0,0,1,0,1,0,,1,0.9145434260368347
0.11,RFM22,1,1,0,1,0,1,1,,1,0.4354009640216827
0.11,RFM22,1,2,0,0,0,0,1,,1,0.21495586052536964
0.11,RFM22,1,3,0,0,0,0,0,,1,0.7027013754844665
0.11,RFM22,1,4,0,0,0,0,0,,1,0.6326406496763229
0.11,RFM22,1,5,0,1,0,1,0,,1,0.7168796141445637
0.11,RFM22,1,6,0,0,0,0,0,,1,0.6996513557434082
0.11,RFM22,1,7,1,1,0,0,1,,1,-0.23922595202922822
0.11,RFM22,1,8,0,0,0,0,1,,1,0.4578759741783142
0.11,RFM22,1,9,0,0,0,0,1,,1,0.2848376412689686
0.11,RFM22,1,10,1,1,0,0,1,,1,-0.21688205391168594
0.11,RFM22,1,11,1,1,0,0,1,,1,-0.0984759545326233
0.11,RFM22,1,12,0,0,0,0,1,,1,0.35403560996055605
0.11,RFM22,1,13,0,1,0,1,1,,1,0.35201156735420225
0.11,RFM22,1,14,0,0,0,0,1,,1,0.3099424278736114
0.11,RFM22,1,15,0,1,0,1,1,,1,0.42114040076732634
0.11,RFM22,2,0,0,0,0,0,0,,1,0.6579273629188538
0.11,RFM22,2,1,0,1,0,1,0,,1,0.715300180464983
0.11,RFM22,2,2,0,0,0,0,1,,1,0.4828907199203968
0.11,RFM22,2,3,0,0,0,0,0,,1,0.6948120450973511
0.11,RFM22,2,4,0,1,0,1,1,,1,0.27834871962666513
0.11,RFM22,2,5,0,1,0,1,1,,1,0.271695202589035
0.11,RFM22,2,6,0,0,0,0,1,,1,0.4052347032725811
0.11,RFM22,2,7,0,1,0,1,1,,1,0.3377727787196636
0.11,RFM22,2,8,0,0,0,0,0,,1,0.6513088271021843
0.11,RFM22,2,9,0,0,0,0,1,,1,0.172503063082695
0.11,RFM22,2,10,0,1,0,0,1,,1,0.44726089626550675
0.11,RFM22,2,11,0,0,0,0,0,,1,0.8066701924800873
0.11,RFM22,2,12,0,1,0,1,1,,1,0.4506579744815826
0.11,RFM22,2,13,0,0,0,0,1,,1,0.4625746840238571
0.11,RFM22,2,14,0,1,0,1,0,,1,0.6803139254450798
0.11,RFM22,2,15,0,0,0,0,1,,1,0.5042437905073166
0.11,RFM22,3,0,0,0,0,0,1,,1,0.4438369607925415
0.11,RFM22,3,1,0,1,0,1,0,,1,0.7142254638671875
0.11,RFM22,3,2,0,1,0,1,1,,1,0.5998721870779992
0.11,RFM22,3,3,0,1,0,1,1,,1,0.5885756251215934
0.11,RFM22,3,4,0,1,0,1,1,,1,0.4533770379424095
0.11,RFM22,3,5,0,1,0,1,1,,1,0.4088782626390457
0.11,RFM22,3,6,0,0,0,0,1,,1,0.5147673229873181
0.11,RFM22,3,7,0,0,0,0,1,,1,0.3513099727034569
0.11,RFM22,3,8,0,0,0,0,1,,1,0.4405771517753601
0.11,RFM22,3,9,0,0,0,0,1,,1,0.5197841683030129
0.11,RFM22,3,10,0,1,0,1,1,,1,0.451570540368557
0.11,RFM22,3,11,0,0,0,0,1,,1,0.23821409165859223
0.11,RFM22,3,12,0,0,0,0,1,,1,0.43290490806102755
0.11,RFM22,3,13,0,1,0,0,1,,1,0.11411789357662201
0.11,RFM22,3,14,0,1,0,1,1,,1,0.2677800730802119
0.11,RFM22,3,15,0,1,0,1,1,,1,0.5778606903553009
0.11,RFM22_64,0,0,0,0,0,0,1,,1,0.11504377782344818
0.11,RFM22_64,0,1,0,1,0,0,1,,1,0.11953512132167816
0.11,RFM22_64,0,2,0,0,0,0,0,,1,0.6669111305475235
0.11,RFM22_64,0,3,1,1,0,1,1,,1,-0.019536431431770324
0.11,RFM22_64,0,4,0,0,0,0,1,,1,0.5697523164749145
0.11,RFM22_64,0,5,0,0,0,0,1,,1,0.2854248143732548
0.11,RFM22_64,0,6,0,1,0,1,1,,1,0.4278415495157242
0.11,RFM22_64,0,7,0,0,0,0,0,,1,0.6410610604286194
0.11,RFM22_64,0,8,0,1,0,1,1,,1,0.08998518124222755
0.11,RFM22_64,0,9,0,1,0,0,1,,1,0.22246539041399957
0.11,RFM22_64,0,10,0,1,0,1,1,,1,0.3180890825390816
0.11,RFM22_64,0,11,0,1,0,1,1,,1,0.41298124089837074
0.11,RFM22_64,0,12,0,0,0,0,1,,1,0.48868378713726995
0.11,RFM22_64,0,13,0,1,0,1,1,,1,0.2964437758922577
0.11,RFM22_64,0,14,0,1,0,1,1,,1,0.3090215265750885
0.11,RFM22_64,0,15,0,0,0,0,1,,1,0.42222976565361026
0.11,RFM22_64,1,0,0,1,0,1,0,,1,0.913313467502594
0.11,RFM22_64,1,1,0,1,0,1,1,,1,0.4320057713985443
0.11,RFM22_64,1,2,0,0,0,0,1,,1,0.2059341761469841
0.11,RFM22_64,1,3,0,0,0,0,0,,1,0.698639275431633
0.11,RFM22_64,1,4,0,0,0,0,0,,1,0.6287519717216492
0.11,RFM22_64,1,5,0,1,0,1,0,,1,0.7136883467435837
0.11,RFM22_64,1,6,0,0,0,0,0,,1,0.6952905093133449
